epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.5057,1.13254,0.80847,0.34543,3.36364,1.28491,0.19233,0.76373,0.22897,0.1484,0.21379,0.77187,0.25737,0.20579,0.93606,0.46558,0.09244,4.83541,1.1195,0.00037037,0.00037037,0.00037037
2,48.9679,0.85513,0.46743,0.30079,2.47545,1.1421,0.30893,0.8443,0.44253,0.34251,0.31195,0.84035,0.45473,0.39164,0.71064,0.43197,0.06022,3.20101,1.02573,0.000779245,0.000779245,0.000779245
3,68.3898,0.77527,0.34421,0.25379,1.86662,1.07285,0.3487,0.72904,0.41223,0.31699,0.36815,0.74357,0.43832,0.37891,0.68698,0.38455,0.08698,5.90399,0.99371,0.00117987,0.00117987,0.00117987
4,87.7543,0.71564,0.28843,0.23576,1.52978,1.05004,0.48887,0.76179,0.64949,0.52961,0.51559,0.77195,0.67423,0.60337,0.57359,0.32856,0.0445,2.22339,0.94511,0.00121287,0.00121287,0.00121287
5,107.135,0.70121,0.2708,0.20508,1.30992,1.05196,0.3501,0.46934,0.3545,0.27286,0.379,0.49322,0.38416,0.35101,0.65969,0.32681,0.09606,5.72381,1.05981,0.0012005,0.0012005,0.0012005
6,126.44,0.64389,0.23687,0.20021,1.09288,1.02554,0.69483,0.79466,0.85381,0.72826,0.68313,0.78205,0.84019,0.78369,0.52668,0.38256,0.05317,1.72618,0.95818,0.00118812,0.00118812,0.00118812
7,145.765,0.60409,0.23098,0.17749,0.91188,1.01529,0.72339,0.80644,0.87433,0.769,0.72339,0.80644,0.87554,0.85113,0.4927,0.2031,0.032,1.15513,0.89585,0.00117575,0.00117575,0.00117575
8,165.028,0.57878,0.22035,0.17949,0.82781,1.00039,0.80762,0.83492,0.93164,0.81647,0.81358,0.83855,0.93595,0.91864,0.47609,0.16221,0.03728,0.95889,0.90056,0.00116337,0.00116337,0.00116337
9,184.24,0.57423,0.20886,0.17639,0.77279,0.99969,0.90472,0.92692,0.96754,0.86515,0.90472,0.92692,0.9692,0.9217,0.44284,0.21436,0.02248,0.65491,0.88151,0.001151,0.001151,0.001151
10,203.524,0.56511,0.19011,0.15838,0.72961,0.99063,0.96467,0.95194,0.99068,0.90016,0.96467,0.95194,0.99068,0.98774,0.42769,0.13334,0.02873,0.52173,0.87414,0.00113863,0.00113863,0.00113863
11,222.729,0.54779,0.18678,0.15333,0.6669,0.98354,0.91006,0.93706,0.98064,0.88687,0.91137,0.94223,0.98101,0.9706,0.42478,0.13097,0.04879,0.55221,0.87844,0.00112625,0.00112625,0.00112625
12,241.935,0.5345,0.18039,0.15106,0.64979,0.97914,0.73173,0.90169,0.88088,0.79851,0.73657,0.90532,0.88614,0.87048,0.41723,0.15752,0.03282,1.02034,0.87293,0.00111388,0.00111388,0.00111388
13,261.207,0.52057,0.18274,0.14844,0.61619,0.96055,0.62171,0.79209,0.79082,0.68456,0.65975,0.76517,0.8042,0.79093,0.50735,0.16094,0.03285,1.25173,0.93602,0.0011015,0.0011015,0.0011015
14,280.408,0.52388,0.1718,0.13638,0.60649,0.96993,0.9585,0.95238,0.98378,0.90851,0.9571,0.95809,0.98671,0.98294,0.41312,0.11011,0.03159,0.45766,0.86963,0.00108913,0.00108913,0.00108913
15,300.047,0.50324,0.16528,0.13456,0.57428,0.95981,0.94814,0.95563,0.98995,0.90062,0.94814,0.95563,0.99127,0.98336,0.42304,0.11989,0.04371,0.46161,0.87206,0.00107675,0.00107675,0.00107675
16,319.091,0.52232,0.16243,0.13036,0.56584,0.96696,0.98062,0.97581,0.99329,0.91674,0.97993,0.97806,0.99343,0.99154,0.37525,0.08852,0.0275,0.38407,0.8581,0.00106437,0.00106437,0.00106437
17,338.096,0.50351,0.1553,0.12255,0.55257,0.95677,0.97422,0.96173,0.99203,0.90515,0.97422,0.96173,0.99203,0.988,0.39531,0.09569,0.02193,0.40124,0.87169,0.001052,0.001052,0.001052
18,357.094,0.48843,0.15797,0.11485,0.54064,0.95455,0.96191,0.97669,0.98097,0.88591,0.96191,0.97669,0.98105,0.97879,0.45024,0.10535,0.02572,0.48735,0.88244,0.00103962,0.00103962,0.00103962
