epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.83703,1.60713,2.42415,0.69965,4.09451,1.79947,0.28563,0.03939,0.12585,0.08881,0.31042,0.06212,0.1542,0.04045,1.15625,2.58497,0.69689,3.67938,1.28672,0.000208333,0.000208333,0.000208333
2,12.9752,1.5591,2.43728,0.69279,4.1285,1.76674,0.2836,0.03939,0.12847,0.08939,0.30824,0.06212,0.15632,0.03988,1.15376,2.58629,0.69701,3.70118,1.29444,0.000618813,0.000618813,0.000618813
3,17.096,1.66037,2.40294,0.69343,4.1471,1.83727,0.28327,0.03939,0.12853,0.08885,0.30841,0.06212,0.15884,0.04078,1.15331,2.59599,0.69677,3.7102,1.29724,0.00102104,0.00102104,0.00102104
4,21.1997,1.50195,2.27746,0.69656,4.05233,1.70004,0.26503,0.06212,0.01361,0.00382,0.32233,0.35909,0.14671,0.04148,2.88408,2.83196,0.67598,9.26441,3.41069,0.00121287,0.00121287,0.00121287
5,25.5814,2.10835,2.3012,0.7153,4.01368,2.13582,0.28746,0.18333,0.06026,0.01342,0.56182,0.21667,0.15431,0.04815,2.04474,2.49199,0.68831,16.1565,2.75536,0.0012005,0.0012005,0.0012005
6,29.8774,2.09832,2.21635,0.70904,3.92543,2.15315,0.31343,0.36212,0.08267,0.02586,0.59684,0.31667,0.18454,0.05574,2.11055,2.43596,0.66569,10.5403,2.64373,0.00118812,0.00118812,0.00118812
7,34.1966,1.72052,2.17696,0.65198,3.37999,1.67918,0.0843,0.15,0.0579,0.0088,0.19037,0.29773,0.1669,0.04823,2.49024,2.44956,0.62966,12.7988,3.94641,0.00117575,0.00117575,0.00117575
8,38.482,1.38142,2.03686,0.60967,2.94993,1.47469,0.03144,0.31439,0.05243,0.01404,0.06772,0.58712,0.10761,0.03961,2.83809,2.50902,0.57895,29.4117,5.76406,0.00116337,0.00116337,0.00116337
9,42.7774,1.17973,1.90832,0.6057,2.50917,1.30163,0.0507,0.29773,0.03056,0.006,0.0679,0.53939,0.09576,0.02537,3.24339,2.50954,0.47493,303.335,8.27708,0.001151,0.001151,0.001151
10,47.073,1.15501,1.84398,0.56404,2.30102,1.28756,0.00763,0.25833,0.02049,0.00474,0.01881,0.79091,0.04571,0.01235,3.01063,2.52945,0.44071,381.72,7.16038,0.00113863,0.00113863,0.00113863
