epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6819,1.56632,2.54898,0.02891,0.32337,0.3786,0.2703,0.09401,2.36167,2.53986,0.06528,0.000660377,0.000660377,0.000660377
2,111.561,1.8175,2.15989,0.03497,0.39573,0.39256,0.30548,0.09361,2.2646,2.69986,0.06519,0.00130077,0.00130077,0.00130077
3,164.844,1.83302,2.16214,0.03519,0.36972,0.38419,0.29844,0.09671,2.50017,2.30885,0.07246,0.00191476,0.00191476,0.00191476
4,218.218,1.81554,2.10528,0.03525,0.3271,0.33553,0.26767,0.09265,2.22968,3.0152,0.06008,0.0018812,0.0018812,0.0018812
5,271.529,1.77824,2.03107,0.03432,0.32801,0.35907,0.25742,0.09007,2.30877,2.77951,0.06232,0.0018416,0.0018416,0.0018416
6,324.857,1.70519,1.95592,0.03265,0.46831,0.46512,0.43928,0.17649,1.98783,2.14437,0.05358,0.001802,0.001802,0.001802
7,377.35,1.66361,1.83373,0.03146,0.53824,0.49444,0.51221,0.22184,1.89347,1.83244,0.05027,0.0017624,0.0017624,0.0017624
8,429.642,1.67443,1.74374,0.03199,0.57651,0.50233,0.51686,0.20826,2.08546,1.82283,0.05724,0.0017228,0.0017228,0.0017228
9,482.051,1.67881,1.75657,0.03204,0.55984,0.5507,0.55405,0.25528,1.87086,1.81895,0.05029,0.0016832,0.0016832,0.0016832
10,539.219,1.6386,1.77305,0.03013,0.62193,0.54791,0.57173,0.27069,1.88149,1.7753,0.05205,0.0016436,0.0016436,0.0016436
11,594.133,1.59382,1.65363,0.03008,0.51087,0.3907,0.42311,0.18421,2.06836,2.37279,0.05631,0.001604,0.001604,0.001604
12,646.429,1.60577,1.67397,0.02974,0.67232,0.52487,0.58253,0.28716,1.82345,1.73611,0.04886,0.0015644,0.0015644,0.0015644
13,699.564,1.5761,1.63317,0.03018,0.65308,0.57209,0.6037,0.30402,1.74698,1.65616,0.04581,0.0015248,0.0015248,0.0015248
14,755.695,1.5456,1.62482,0.0284,0.6831,0.56948,0.62162,0.30913,1.78383,1.60962,0.04706,0.0014852,0.0014852,0.0014852
